name,code,year,casset,cdebt,asset,rearnings,debt,sales,employee,capital,equity,netincome,stock,income,roe
(주)파트론,91700,Dec-20,290970742,203880742,605213736,367980663,207558027,1179278982,471,27078205,397655709,20552624,11200,41941795,6.2
(주)포인트모바일,318020,Dec-12,,,,,,,,,,,,,
(주)포인트모바일,318020,Dec-13,,,,,,,,,,,,,
(주)포인트모바일,318020,Dec-14,,,,,,,,,,,,,
(주)포인트모바일,318020,Dec-15,,,,,,,,,,,,,
(주)포인트모바일,318020,Dec-16,,,,,,,,,,,,5331747,
(주)포인트모바일,318020,Dec-17,,,,,,,,,,,,3925240,
(주)포인트모바일,318020,Dec-18,37655709,10857025,51223599,21909723,24470610,51325606,,495900,26752989,3551776,,5920889,13.28
(주)포인트모바일,318020,Dec-19,37278106,6306489,55664332,30148044,18610457,62181341,,520695,37053874,8493516,,9030162,26.62
(주)포인트모바일,318020,Dec-20,51853309,22606359,79055908,11451707,27854873,48940227,140,643059,51201035,-18538375,53400,115775,-42.01
(주)폴라리스웍스,123010,Dec-10,,,,,,,,,,,,,
(주)폴라리스웍스,123010,Dec-11,,,,,,,,,,,,,
(주)폴라리스웍스,123010,Dec-12,,,,,,,,,,,,,
(주)폴라리스웍스,123010,Dec-13,,,,,,,,,,,,,
(주)폴라리스웍스,123010,Dec-14,,,,,,,229,,,,,,
(주)폴라리스웍스,123010,Dec-15,,,,,,,182,,,,,,
(주)폴라리스웍스,123010,Dec-16,,,,,,,140,,,,5860,,
(주)폴라리스웍스,123010,Dec-17,,,,,,,166,,,,3855,,
(주)폴라리스웍스,123010,Dec-18,,,,,,,78,,,,3760,,
(주)폴라리스웍스,123010,Dec-19,,,,,,,72,,,,6230,,
(주)폴라리스웍스,123010,Dec-20,,,,,,,78,,,,1555,,
(주)푸른기술,94940,Dec-10,,,,,,,91,,,,3160,,
(주)푸른기술,94940,Dec-11,,,,,,,128,,,,3390,,
(주)푸른기술,94940,Dec-12,22601246,9683463,32420623,15462836,10085818,27789212,146,2042958,22334805,2869311,4610,2538092,12.85
(주)푸른기술,94940,Dec-13,21467745,9496248,34057948,17618863,9546004,28179511,174,2042958,24511944,2617149,5400,1849970,11.17
(주)푸른기술,94940,Dec-14,,,,,,,145,,,,3950,,
(주)푸른기술,94940,Dec-15,,,,,,,121,,,,7100,,
(주)푸른기술,94940,Dec-16,,,,,,,108,,,,6680,,
(주)푸른기술,94940,Dec-17,,,,,,,117,,,,5570,,
(주)푸른기술,94940,Dec-18,19973561,3549782,34014268,17298042,7621658,24947320,121,3287101,26392611,1313941,20250,584320,4.98
(주)푸른기술,94940,Dec-19,21866614,2851038,35570056,17882007,6968063,23398104,127,3287101,28601993,597559,15850,372414,2.17
(주)푸른기술,94940,Dec-20,23412297,8077757,38407401,18672394,8789780,23662752,134,3287101,29617621,969105,11800,101904,3.33
(주)피델릭스,32580,Dec-10,,,,,,,65,,,,1540,,
(주)피델릭스,32580,Dec-11,,,,,,,66,,,,1930,,
(주)피델릭스,32580,Dec-12,32265141,17522874,50837535,11345995,21047437,93256004,60,9133637,29790098,2185278,1880,4494095,7.47
(주)피델릭스,32580,Dec-13,40337069,17270887,58857911,15771198,23953384,87521848,66,9133637,34904527,4737071,2410,7157450,15.02
(주)피델릭스,32580,Dec-14,45530617,25231836,68750158,16144654,33625446,78116195,70,9133637,35124711,271760,1905,1728024,1.21
(주)피델릭스,32580,Dec-15,,,,,,,74,,,,3110,,
(주)피델릭스,32580,Dec-16,,,,,,,74,,,,2370,,
